"county","state","fips","population","density","cases","CountyStartDate","days","Growth.rate","Growth.rate.last14","Growth.rate.reg","Doubling.time","tests","testing.rate"
"Autauga","Alabama",1001,55601,92.86,48,2020-03-24,40,1.10161801884274,1.04233279077764,0,7.16208927004166,0,0
"Baldwin","Alabama",1003,218022,130.9,187,2020-03-14,50,1.11029103243069,1.03673038329496,0,6.62524171574866,0,0
"Barbour","Alabama",1005,24881,29.14,45,2020-04-03,30,1.13529070927716,1.05659100769661,0,5.46263701409814,0,0
"Bibb","Alabama",1007,22400,36.18,43,2020-03-30,34,1.0944334707081,1.02298826565062,0,7.68142031356827,0,0
"Blount","Alabama",1009,57840,89.4,40,2020-03-25,39,1.0992044080027,1.04706128239787,0,7.32817116365519,0,0
"Bullock","Alabama",1011,10138,16.62,14,2020-03-26,38,1.05254196952986,1.0187240648648,0,13.5358731101048,0,0
"Butler","Alabama",1013,19680,25.78,105,2020-03-25,39,1.12674429199145,1.16764925045793,0,5.8085454124943,0,0
"Calhoun","Alabama",1015,114277,189.97,105,2020-03-18,46,1.10646810070816,1.02113829251405,0,6.85110484550611,0,0
"Chambers","Alabama",1017,33615,56.7,300,2020-03-19,45,1.13513401818528,1.01197158410161,0,5.468585673418,0,0
"Cherokee","Alabama",1019,26032,46.69,16,2020-03-25,39,1.07368001976812,1.02237606134398,0,9.75,0,0
"Chilton","Alabama",1021,44153,63.4,57,2020-03-25,39,1.10923210788594,1.02191759545149,0,6.68622242238262,0,0
"Choctaw","Alabama",1023,12841,14.31,49,2020-03-26,38,1.1078445976218,1.08483869111691,0,6.76793655505242,0,0
"Clarke","Alabama",1025,23920,19.69,42,2020-04-01,32,1.09981427669245,1.04398734558803,0,7.2854479583025,0,0
"Clay","Alabama",1027,13275,22.15,22,2020-03-25,39,1.0824830242702,1.01134101753814,0,8.74550914448545,0,0
"Cleburne","Alabama",1029,14987,26.67,12,2020-03-25,39,1.06578919736411,1,0,10.8787748803941,0,0
"Coffee","Alabama",1031,51909,75.54,130,2020-04-02,31,1.12927759773766,1.05602477229622,0,5.7012487058548,0,0
"Colbert","Alabama",1033,54762,91.96,41,2020-03-25,39,1.0999005829485,1.07506737516697,0,7.2794440383188,0,0
"Conecuh","Alabama",1035,12277,14.72,9,2020-04-01,32,1.07107548307291,1,0,10.0948760571433,0,0
"Coosa","Alabama",1037,10715,16.68,30,2020-03-26,38,1.07386520308338,1.02064900570257,0,9.726404942773,0,0
"Covington","Alabama",1039,36986,36.25,45,2020-03-27,37,1.08779103047805,1.04954266512516,0,8.23713492104917,0,0
"Crenshaw","Alabama",1041,13824,22.77,23,2020-03-26,38,1.08601279768468,1.10889520768573,0,8.40045971938515,0,0
"Cullman","Alabama",1043,83442,112.01,58,2020-03-20,44,1.09667491317596,1.0214776543855,0,7.51112030520369,0,0
"Dale","Alabama",1045,48956,87.78,34,2020-04-01,32,1.11649997107838,1.03775992121918,0,6.28997223145033,0,0
"Dallas","Alabama",1047,38310,40.9,59,2020-03-25,39,1.09065587724473,1.0650629611208,0,7.98747719334046,0,0
"DeKalb","Alabama",1049,71385,91.62,79,2020-03-26,38,1.12185713664692,1.04247792208837,0,6.02812843879265,0,0
"Elmore","Alabama",1051,81887,131.31,103,2020-03-13,51,1.09513433814934,1.03245565801297,0,7.62730815509028,0,0
"Escambia","Alabama",1053,36748,39.5,31,2020-03-27,37,1.09725374755392,1.0521932617454,0,7.4684162035377,0,0
"Etowah","Alabama",1055,102501,192.41,143,2020-03-25,39,1.10415780897716,1.02789540812748,0,6.99563008954638,0,0
"Fayette","Alabama",1057,16433,26.42,6,2020-03-30,34,1.05411210708209,1.05476607648165,0,13.1529954459744,0,0
"Franklin","Alabama",1059,31363,49.76,132,2020-03-23,41,1.12647437121008,1.1656325007887,0,5.82023085382593,0,0
"Geneva","Alabama",1061,26314,46.12,10,2020-04-08,25,1.09647819614319,1.07302729618313,0,7.52574989159952,0,0
"Greene","Alabama",1063,8233,13.02,58,2020-03-27,37,1.11598977640277,1.04680922122021,0,6.31616934755765,0,0
"Hale","Alabama",1065,14726,23.12,52,2020-03-30,34,1.12323515250605,1.04059114739198,0,5.96445216178646,0,0
"Henry","Alabama",1067,17209,30.48,27,2020-04-03,30,1.0906308855077,1.03168111653072,0,7.98958690046367,0,0
"Houston","Alabama",1069,104722,179.97,95,2020-03-23,41,1.11747331506926,1.02376898043356,0,6.24062421524297,0,0
"Jackson","Alabama",1071,51736,48.33,50,2020-03-20,44,1.09298186134041,1.01929622356318,0,7.79608808596455,0,0
"Jefferson","Alabama",1073,659300,593.81,969,2020-03-13,51,1.12889310177309,1.02669436854709,0,5.71726262700926,0,0
"Lamar","Alabama",1075,13844,23.04,11,2020-03-20,44,1.05600996293418,1.01555596097903,0,12.7188523579871,0,0
"Lauderdale","Alabama",1077,92387,138.66,61,2020-03-20,44,1.09793259406062,1.0743925017783,0,7.41897634233805,0,0
"Lawrence","Alabama",1079,32957,48.03,14,2020-03-25,39,1.07001015240396,1.02622033970555,0,10.2433318664506,0,0
"Lee","Alabama",1081,163941,262.19,400,2020-03-15,49,1.13006458581076,1.01954796401611,0,5.6687662224141,0,0
"Limestone","Alabama",1083,96174,166.18,45,2020-03-13,51,1.07749665757877,1.00910140166477,0,9.28648292396684,0,0
"Lowndes","Alabama",1085,9974,14.3,71,2020-03-26,38,1.11870949709538,1.0658212089021,0,6.1791158663221,0,0
"Macon","Alabama",1087,18439,31.29,40,2020-03-29,35,1.11115115647051,1.03369229772266,0,6.57656386481877,0,0
"Madison","Alabama",1089,366519,446.06,234,2020-03-17,47,1.12307522810371,1.01137602172735,0,5.97176899350706,0,0
"Marengo","Alabama",1091,19066,20,58,2020-03-26,38,1.1127715146969,1.05201902864957,0,6.48687662722137,0,0
"Marion","Alabama",1093,29763,40.37,83,2020-03-21,43,1.10822954236151,1.02143463574243,0,6.74505631895596,0,0
"Marshall","Alabama",1095,96109,168.15,342,2020-03-25,39,1.16138183324889,1.05668829073989,0,4.63301060823214,0,0
"Mobile","Alabama",1097,413757,337.28,1198,2020-03-19,45,1.17060439819442,1.04452555475369,0,4.40037025221143,0,0
"Monroe","Alabama",1099,21067,20.97,13,2020-03-28,36,1.07384814410386,1.02869038416188,0,9.72857355938352,0,0
"Montgomery","Alabama",1101,225763,289.37,409,2020-03-13,51,1.12514957621256,1.04492588279642,0,5.8783140357148,0,0
"Morgan","Alabama",1103,119089,205.62,74,2020-03-24,40,1.09447297694837,1.03385779446756,0,7.6783488002624,0,0
"Perry","Alabama",1105,9140,13.18,15,2020-04-04,29,1.0978799933249,1.04007651103612,0,7.42278271948465,0,0
"Pickens","Alabama",1107,19938,23.03,55,2020-03-25,39,1.10821668463465,1.02479894369295,0,6.745817927358,0,0
"Pike","Alabama",1109,33338,49.7,75,2020-03-25,39,1.1170651267259,1.04755102257026,0,6.26121933192683,0,0
"Randolph","Alabama",1111,22725,38.88,77,2020-03-27,37,1.1245693321945,1.02479894369295,0,5.90414237978771,0,0
"Russell","Alabama",1113,57781,90.8,61,2020-03-25,39,1.11116278620212,1.01860737251061,0,6.57591084889054,0,0
"St. Clair","Alabama",1115,88690,138.16,76,2020-03-17,47,1.09652190136266,1.02237606134398,0,7.5224944429766,0,0
"Shelby","Alabama",1117,215707,269.15,327,2020-03-15,49,1.10961886515909,1.01398054765079,0,6.66381362467638,0,0
"Sumter","Alabama",1119,12691,14.37,77,2020-03-30,34,1.13627910710519,1.05166952012647,0,5.4254281327779,0,0
"Talladega","Alabama",1121,79828,109.35,65,2020-03-18,46,1.09499253877984,1.02525515460837,0,7.63819172593314,0,0
"Tallapoosa","Alabama",1123,40497,56.71,295,2020-03-23,41,1.14878712971699,1.03317575968936,0,4.99721426984492,0,0
"Tuscaloosa","Alabama",1125,208911,156.01,218,2020-03-13,51,1.11135315847881,1.02760943183826,0,6.565240713629,0,0
"Walker","Alabama",1127,63711,81.51,99,2020-03-19,45,1.10750947083813,1.00735849392323,0,6.78798902803024,0,0
"Washington","Alabama",1129,16378,15.41,38,2020-03-20,44,1.08618592956761,1.0688018603782,0,8.38426214677804,0,0
"Wilcox","Alabama",1131,10627,12.17,72,2020-03-25,39,1.1158964864898,1.03004606514686,0,6.32098445133177,0,0
"Winston","Alabama",1133,23660,38.95,16,2020-03-27,37,1.05781041208069,1.04525281080924,0,12.3333333333333,0,0
"Anchorage","Alaska",2020,291538,173.71,187,2020-03-12,52,1.10583227624089,1.01454191190899,0,6.8902513843786,0,0
"Bethel Census Area","Alaska",2050,18216,0.44,1,2020-04-07,26,0,1.01454191190899,0,Inf,0,0
"Fairbanks North Star Borough","Alaska",2090,98971,13.58,83,2020-03-16,48,1.08071041123345,1.00380666975014,0,8.9301670458577,0,0
"Juneau City and Borough","Alaska",2110,32113,11.97,27,2020-03-23,41,1.08370558440467,1.00910140166477,0,8.62270663214325,0,0
"Kenai Peninsula Borough","Alaska",2122,58533,3.62,21,2020-03-18,46,1.0684246462761,1.01192832635988,0,10.4728314400598,0,0
"Ketchikan Gateway Borough","Alaska",2130,13918,2.84,16,2020-03-17,47,1.06076595837088,1.00497684518225,0,11.75,0,0
"Kodiak Island Borough","Alaska",2150,13345,2.08,1,2020-04-16,17,0,1.00497684518225,0,Inf,0,0
"Matanuska-Susitna Borough","Alaska",2170,107610,4.2,21,2020-03-23,41,1.05902705716989,1.00772843898221,0,12.0861331326759,0,0
"Nome Census Area","Alaska",2180,10008,0.43,1,2020-04-15,18,0,1.00772843898221,0,Inf,0,0
"Petersburg Borough","Alaska",2195,3221,0.99,3,2020-04-06,27,1.04152849823144,1.03168111653072,0,17.0351033464294,0,0
"Prince of Wales-Hyder Census Area","Alaska",2198,6422,1.65,2,2020-04-11,22,1.03200827973421,1,0,22,0,0
"Southeast Fairbanks Census Area","Alaska",2240,6918,0.28,1,2020-04-03,30,0,1,0,Inf,0,0
"Yukon-Koyukuk Census Area","Alaska",2290,5327,0.04,1,2020-04-02,31,0,1,0,Inf,0,0
"Apache","Arizona",4001,71818,6.39,526,2020-03-21,43,1.12767225454315,1.07639550372252,0,5.7687484580746,0,0
"Cochise","Arizona",4003,126770,20.48,39,2020-03-21,43,1.08893386061203,1.02581663295356,0,8.13561545922541,0,0
"Coconino","Arizona",4005,142854,7.53,527,2020-03-18,46,1.14596088985691,1.03499196451919,0,5.08756183224077,0,0
"Gila","Arizona",4007,53889,11.22,14,2020-03-28,36,1.07606099619328,1.04398734558803,0,9.45538326133898,0,0
"Graham","Arizona",4009,38072,8.19,18,2020-03-14,50,1.05951095150599,1.18414059498886,0,11.9906233284066,0,0
"Greenlee","Arizona",4011,9483,5.16,2,2020-03-30,34,1.02059590957959,1,0,34,0,0
"La Paz","Arizona",4012,21098,4.6,14,2020-03-26,38,1.05254196952986,1.08242240131689,0,13.5358731101048,0,0
"Maricopa","Arizona",4013,4410824,462.37,4585,2020-01-26,98,1.08983463455379,1.04349852875527,0,8.05741747363452,0,0
"Mohave","Arizona",4015,209550,15.48,135,2020-03-26,38,1.11722224145372,1.07002968530191,0,6.25327515589612,0,0
"Navajo","Arizona",4017,110445,10.92,777,2020-03-17,47,1.15212160181914,1.03891861786611,0,4.89493042853548,0,0
"Pima","Arizona",4019,1039073,111,1326,2020-03-09,55,1.13965531069808,1.02673411480382,0,5.30229591161799,0,0
"Pinal","Arizona",4021,447138,78.22,456,2020-03-06,58,1.11133302793142,1.04540970860877,0,6.56636728262087,0,0
"Santa Cruz","Arizona",4023,46511,37.66,34,2020-03-19,45,1.08151579088342,1.04166204506625,0,8.84527345047701,0,0
"Yavapai","Arizona",4025,231993,27.65,89,2020-03-19,45,1.10489186989501,1.01753320190645,0,6.94901982604996,0,0
"Yuma","Arizona",4027,212128,37.69,98,2020-03-20,44,1.10982662156218,1.10424726343726,0,6.65184128055816,0,0
"Arkansas","Arkansas",5001,17769,18.33,3,2020-03-29,35,1.03188674986358,1.03168111653072,0,22.082541375001,0,0
"Ashley","Arkansas",5003,20046,22.19,16,2020-03-29,35,1.08243899173878,1.02237606134398,0,8.75000000000001,0,0
"Baxter","Arkansas",5005,41619,74.36,5,2020-03-27,37,1.04445824166542,1,0,15.9350326487156,0,0
"Benton","Arkansas",5007,272608,305.63,106,2020-03-19,45,1.10919217474325,1.04211698675769,0,6.68854519073257,0,0
"Boone","Arkansas",5009,37480,63.18,4,2020-03-19,45,1.031285973403,1.02237606134398,0,22.5,0,0
"Bradley","Arkansas",5011,10897,16.86,11,2020-03-18,46,1.05351074980261,1.03537956239567,0,13.2969820106228,0,0
"Carroll","Arkansas",5015,28223,44.26,6,2020-04-01,32,1.05758973424189,1.08818224346332,0,12.3792898315053,0,0
"Chicot","Arkansas",5017,10438,16.8,9,2020-03-26,38,1.05952606473828,1.01951994983864,0,11.9876653178577,0,0
"Clark","Arkansas",5019,22061,25.85,31,2020-03-19,45,1.07929799673166,1.0106836156907,0,9.08320889619448,0,0
"Clay","Arkansas",5021,14847,23.55,3,2020-04-06,27,1.04152849823144,1.08818224346332,0,17.0351033464294,0,0
"Cleburne","Arkansas",5023,24965,45.57,73,2020-03-16,48,1.09350110504344,1.00213917432231,0,7.75466243726383,0,0
"Cleveland","Arkansas",5025,8018,13.76,11,2020-03-16,48,1.05122500074346,1.02479894369295,0,13.8751116632586,0,0
"Columbia","Arkansas",5027,23537,31.19,13,2020-03-24,40,1.06622431873204,1.07626948420484,0,10.8095261770928,0,0
"Conway","Arkansas",5029,20891,37.86,13,2020-03-24,40,1.06622431873204,1.07626948420484,0,10.8095261770928,0,0
"Craighead","Arkansas",5031,108558,149.46,81,2020-03-19,45,1.10258169532254,1.04806230981107,0,7.0979597276789,0,0
"Crawford","Arkansas",5033,63406,105.33,5,2020-03-24,40,1.04105638019003,1.01731305178338,0,17.2270623229357,0,0
"Crittenden","Arkansas",5035,48342,80.38,197,2020-03-19,45,1.12457425868342,1.02550258664896,0,5.90392207582886,0,0
"Cross","Arkansas",5037,16676,27.58,24,2020-03-24,40,1.08269288064725,1.08818224346332,0,8.72417167942125,0,0
"Dallas","Arkansas",5039,7182,11.14,1,2020-04-04,29,0,1.08818224346332,0,Inf,0,0
"Desha","Arkansas",5041,11512,15.47,16,2020-03-16,48,1.0594630943593,1.06565609324493,0,12,0,0
"Drew","Arkansas",5043,18328,22.34,16,2020-03-25,39,1.07368001976812,1.07836758691255,0,9.75,0,0
"Faulkner","Arkansas",5045,124806,188.95,77,2020-03-18,46,1.09903283556355,1.01680667220078,0,7.34028512081716,0,0
"Franklin","Arkansas",5047,17810,29.2,2,2020-04-06,27,1.02600448470704,1.05476607648165,0,26.9999999999999,0,0
"Garland","Arkansas",5051,99154,145.03,118,2020-03-15,49,1.08677549435518,1.00683505287217,0,8.32958919805879,0,0
"Grant","Arkansas",5053,18188,28.63,14,2020-03-19,45,1.06039949419267,1.0187240648648,0,11.8192290766737,0,0
"Greene","Arkansas",5055,45325,77.24,19,2020-03-19,45,1.06762011245664,1.0688018603782,0,10.5934011014987,0,0
"Hempstead","Arkansas",5057,21741,30.26,6,2020-03-24,40,1.04581238648547,1.01412354311405,0,15.4741122893816,0,0
"Hot Spring","Arkansas",5059,33701,54.49,20,2020-03-24,40,1.07776915415201,1.07302729618313,0,9.25512852639035,0,0
"Howard","Arkansas",5061,13341,22.75,13,2020-03-26,38,1.0504912921483,0.994315604421566,0,14.0717823637101,0,0
"Independence","Arkansas",5063,37678,48.78,10,2020-03-19,45,1.05250028527773,1.01731305178338,0,13.5463498048791,0,0
"Izard","Arkansas",5065,13593,23.35,9,2020-04-06,27,1.08478161262823,1.12265707192514,0,8.51755167321468,0,0
"Jackson","Arkansas",5067,16811,27.17,1,2020-04-13,20,0,1.12265707192514,0,Inf,0,0
"Jefferson","Arkansas",5069,68114,80.88,184,2020-03-11,53,1.10339855723738,1.02955556546308,0,7.04453559491606,0,0
"Johnson","Arkansas",5071,26742,39.85,31,2020-03-28,36,1.10008619239566,1.02673140738585,0,7.26656711695559,0,0
"Lafayette","Arkansas",5073,6682,13.09,8,2020-04-03,30,1.07177346253629,1.05476607648165,0,10,0,0
"Lawrence","Arkansas",5075,16434,28.37,66,2020-03-24,40,1.11042338280539,1.07428822218561,0,6.61770215676233,0,0
